time,open,high,low,close,Volume,VWAP,VWAP_Upper1,VWAP_Lower1,VWAP_Upper2,VWAP_Lower2,EMA_8,EMA_20,EMA_50,EMA_200,ATR_14,RVOL,VIX,NQ,RTY,US10Y,DXY
1771865040,6856.5,6857,6852.25,6853.5,2225,6882.455688423298,6905.944871828228,6858.966505018368,6929.434055233159,6835.477321613437,6854.696797470054,6853.695193741256,6854.16861467694,6873.7240186231975,3.99752673274613,0.6256502544779686,21.13,24764.25,2612.6,4.033,97.592
1771865100,6853.5,6855.25,6851.25,6854,3158,6882.375235459693,6905.879802369108,6858.8706685502775,6929.384369278523,6835.366101640862,6854.54195358782,6853.724222908755,6854.162002336668,6873.527759731424,3.997703394692835,0.9118865772490362,21.14,24763.25,2612.8,4.033,97.592
1771865160,6854,6854,6849.5,6851,3716,6882.271200074954,6905.805984763068,6858.73641538684,6929.340769451182,6835.201630698727,6853.7548527905265,6853.464773107921,6854.038002245034,6873.303602918177,4.033581723643347,1.0840456256016804,21.22,24754.75,2610.5,4.033,97.594
1771865220,6850.75,6852.25,6848.5,6851.25,3799,6882.1663963933515,6905.730245062253,6858.60254772445,6929.294093731154,6835.038699055549,6853.198218837076,6853.253842335738,6853.92866882366,6873.0841640831695,4.013325886240251,1.1334377563959126,21.19,24755,2610.7,4.033,97.598
1771865280,6851.25,6851.75,6847.5,6847.5,2890,6882.0775294069645,6905.676350859555,6858.478707954374,6929.2751723121455,6834.879886501783,6851.9319479843925,6852.705857351382,6853.676564163909,6872.829595286322,4.030231180080233,0.8805874645784454,21.26,24734,2609.5,4.033,97.61
1771865340,6847.5,6852.25,6847,6850.75,3758,6881.97344838378,6905.601903920698,6858.344992846863,6929.230359457615,6834.716537309945,6851.66929287675,6852.519585222679,6853.5617969417945,6872.6098978207865,4.117357524360217,1.1514891530824856,21.22,24750,2610.3,4.033,97.594
1771865400,6850.5,6853.25,6849.75,6851,3684,6881.87289755739,6905.528673879811,6858.217121234969,6929.184450202232,6834.5613449125485,6851.520561126361,6852.374862820519,6853.461334316626,6872.394873961874,4.073260558334487,1.149238832043923,21.13,24747.25,2610.8,4.031,97.593
1771865460,6851,6855.75,6849,6854.25,4302,6881.768576295767,6905.440355780843,6858.096796810692,6929.112135265918,6834.425017325616,6852.127103098281,6852.553447313803,6853.492262382641,6872.2143279523025,4.264456232739167,1.352617512969659,21.07,24762,2612.2,4.033,97.579
1771865520,6854.25,6854.75,6852.25,6852.75,2494,6881.705181161293,6905.389872247747,6858.020490074839,6929.074563334201,6834.335798988384,6852.265524631996,6852.57216661725,6853.463154053909,6872.020653047304,4.138423644686369,0.7922742145557355,21.11,24758.75,2611.1,4.033,97.58
1771865580,6852.75,6854.75,6851.5,6854.25,2656,6881.641453713001,6905.335505694955,6857.947401731048,6929.029557676909,6834.253349749094,6852.70651915822,6852.73196027275,6853.494010757678,6871.843830628923,4.0749648129230565,0.8431478365766166,21.2,24763,2611.9,4.033,97.584
1771865640,6854.25,6854.75,6850.25,6851.25,2071,6881.586547637949,6905.2943418005125,6857.878753475385,6929.0021359630755,6834.170959312822,6852.3828482341705,6852.590821199155,6853.406010335808,6871.638916891321,4.105324469142838,0.6706497627952915,21.18,24749,2610.3,4.029,97.586
1771865700,6851.25,6852.75,6849,6851.25,2481,6881.521032324613,6905.245047312746,6857.79701733648,6928.969062300878,6834.0730023483475,6852.131104182133,6852.463123942092,6853.3214609108745,6871.436042096382,4.079944149918349,0.8178401898734178,21.23,24751.25,2611,4.029,97.584
1771865760,6851.25,6851.5,6848.75,6850,2282,6881.458543241794,6905.200466473844,6857.7166200097445,6928.942389705894,6833.974696777695,6851.657525474992,6852.228540709512,6853.19120754182,6871.222748145175,3.9849481392098953,0.7625858410332671,21.22,24744.25,2610.7,4.029,97.574
1771865820,6850,6852.25,6848.75,6848.75,2314,6881.392922600877,6905.15613161161,6857.629713590143,6928.919340622344,6833.86650457941,6851.011408702771,6851.89725111813,6853.01704254018,6870.999138710894,3.9503089864091883,0.782232438645122,21.19,24738.5,2610.2,4.031,97.583
1771865880,6848.75,6850,6847.75,6848,2045,6881.333821668674,6905.117444978224,6857.550198359125,6928.901068287774,6833.766575049574,6850.3422067688225,6851.526084344975,6852.820295773899,6870.770291559542,3.8288583445228177,0.7043223695539865,21.24,24731.25,2610.6,4.029,97.595
1771865940,6848.25,6849.5,6847.25,6849,2266,6881.27053493844,6905.073809316886,6857.4672605599935,6928.877083695332,6833.663986181547,6850.0439385979735,6851.285504883549,6852.670480253353,6870.553671743029,3.7160827484854733,0.7824990935303969,21.27,24734.75,2611.5,4.029,97.586
1771866000,6849,6853.25,6847.5,6852.5,3850,6881.175175753204,6904.996434018333,6857.353917488074,6928.817692283463,6833.532659222945,6850.589730020646,6851.4011710851155,6852.663794753222,6870.374033218222,3.8613625521650823,1.3079222720478327,21.22,24750.5,2612.3,4.029,97.577
1771866060,6852.75,6854,6851.75,6853,2701,6881.1098120887455,6904.942001905761,6857.27762227173,6928.774191722776,6833.445432454715,6851.125345571613,6851.5534405055805,6852.676979272704,6870.201157265802,3.7462652270104333,0.930000344317047,21.13,24752.5,2612.3,4.029,97.572
1771866120,6853,6853.5,6849.5,6850.75,2391,6881.04759168021,6904.8949055057155,6857.200277854704,6928.742219331222,6833.352964029197,6851.0419354445885,6851.4769223621915,6852.601411458088,6870.007613412411,3.764389139366831,0.8289850047672706,21.2,24744.5,2611.5,4.029,97.594
1771866180,6850.5,6850.5,6848.5,6848.75,1831,6880.996982229278,6904.85982468546,6857.134139773096,6928.722667141642,6833.271297316914,6850.532616456902,6851.217215470554,6852.450375714633,6869.796094870994,3.656218486554914,0.64342692483396,21.22,24734.5,2611.2,4.027,97.589
1771866240,6848.75,6851,6847.25,6850.25,2236,6880.938258019989,6904.816068205179,6857.060447834799,6928.69387839037,6833.182637649608,6850.469812799813,6851.125099711454,6852.364086470922,6869.601606364815,3.662917166086706,0.7855950812472552,21.23,24744,2610.4,4.025,97.57
1771866300,6850,6852.25,6849.25,6850.25,2673,6880.868350542524,6904.763778485086,6856.972922599963,6928.659206427647,6833.077494657401,6850.420965510965,6851.041756881792,6852.281181119121,6869.409053067652,3.615565939937656,0.9472005669737774,21.2,24746.25,2610.5,4.025,97.584
1771866360,6850.25,6854.25,6849,6852.5,2698,6880.8032730154355,6904.709831078927,6856.896714951944,6928.616389142419,6832.990156888452,6850.882973175195,6851.180637178764,6852.289762251705,6869.240803783397,3.732311229942109,0.9736205838836564,21.12,24757,2611.7,4.025,97.566
